"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109"
"Otu0001",6.2640000400896e-07,1.25280000801792e-06,5.63760003608064e-06,3.75840002405376e-06,6.2640000400896e-07,1.25280000801792e-06,6.2640000400896e-07,7.51680004810752e-06,1.19016000761702e-05,4.38480002806272e-06,2.44296001563494e-05,4.38480002806272e-06,5.01120003207168e-06,1.25280000801792e-06,2.00448001282867e-05,6.2640000400896e-06,1.06488000681523e-05,1.44072000922061e-05,6.2640000400896e-06,3.1320000200448e-06,0,7.51680004810752e-06,0,6.89040004409856e-06,4.38480002806272e-06,1.87920001202688e-06,6.89040004409856e-06,0,6.89040004409856e-06,1.12752000721613e-05,2.50560001603584e-06,1.87920001202688e-06,1.87920001202688e-06,1.87920001202688e-06,1.12752000721613e-05,3.1320000200448e-06,6.89040004409856e-06,0,1.31544000841882e-05,1.19016000761702e-05,0,0,2.50560001603584e-06,1.00224000641434e-05,8.76960005612544e-06,2.50560001603584e-06,7.51680004810752e-06,3.1320000200448e-06,3.75840002405376e-06,0,3.1320000200448e-06,3.1320000200448e-06,6.89040004409856e-06,5.01120003207168e-06,4.38480002806272e-06,2.50560001603584e-06,2.50560001603584e-06,1.87920001202688e-06,6.2640000400896e-07,6.2640000400896e-06,6.2640000400896e-06,6.2640000400896e-07,5.01120003207168e-06,3.75840002405376e-06,0,1.44072000922061e-05,0,0,3.75840002405376e-06,0,1.25280000801792e-06,6.2640000400896e-06,3.1320000200448e-06,3.75840002405376e-06,1.06488000681523e-05,0,8.14320005211648e-06,2.88144001844122e-05,6.2640000400896e-07,7.51680004810752e-06,0,0,1.75392001122509e-05,7.51680004810752e-06,6.2640000400896e-06,4.13424002645914e-05,7.51680004810752e-06,1.5660000100224e-05,2.50560001603584e-06,9.3960000601344e-06,0,1.37808000881971e-05,3.75840002405376e-06,1.25280000801792e-06,3.1320000200448e-06,6.2640000400896e-07,6.89040004409856e-06,1.87920001202688e-06,2.50560001603584e-06,0,4.38480002806272e-06,3.75840002405376e-06,9.3960000601344e-06,1.87920001202688e-06,1.25280000801792e-06,1.6286400104233e-05,5.01120003207168e-06,3.1320000200448e-06,1.37808000881971e-05
"Otu0002",8.45640005412096e-05,9.95976006374246e-05,6.63984004249498e-05,0.000252439201615611,0.000298792801912274,0.00031946400204457,4.00896002565734e-05,0.000217987201395118,0.000196063201254804,7.64208004890931e-05,0.000288144001844122,0.000146577600938097,9.64656006173798e-05,0.000240537601539441,0.000153468000982195,0.000171007201094446,0.000112752000721613,9.14544005853082e-05,9.77184006253978e-05,8.70696005572454e-05,8.76960005612544e-06,9.77184006253978e-05,2.31768001483315e-05,0.000108993600697559,0.00118452240758094,0.000222372001423181,3.88368002485555e-05,4.6353600296663e-05,5.88816003768422e-05,0.000147204000942106,8.01792005131469e-05,0.000130917600837873,4.6980000300672e-05,5.70024003648154e-05,0.000244296001563494,7.32888004690483e-05,6.45192004129229e-05,4.13424002645914e-05,0.000186040801190661,6.2640000400896e-05,0.000735393604706519,0.000110872800709586,7.830000050112e-05,9.58392006133709e-05,0.000110872800709586,0.000352036802253036,0.000489218403130998,3.44520002204928e-05,4.32216002766182e-05,0.000159732001022285,0.000207964801330975,8.58168005492275e-05,5.01120003207168e-05,2.12976001363046e-05,0.000106488000681523,1.5660000100224e-05,4.44744002846362e-05,5.19912003327437e-05,2.00448001282867e-05,2.69352001723853e-05,6.07608003888691e-05,3.69576002365286e-05,3.44520002204928e-05,6.2640000400896e-05,0.000132170400845891,9.02016005772902e-05,4.57272002926541e-05,3.57048002285107e-05,0.000165369601058365,0.000347652002224973,0.000263088001683763,3.94632002525645e-05,0.000245548801571512,4.94856003167078e-05,0.00010210320065346,0.000442864802834335,0.00018666720119467,0.000200448001282867,0.000181656001162598,4.51008002886451e-05,0.000163490401046339,9.3333600597335e-05,4.6980000300672e-05,2.56824001643674e-05,0.000346399202216955,0.000173512801110482,8.70696005572454e-05,7.70472004931021e-05,5.70024003648154e-05,2.75616001763942e-05,6.2640000400896e-07,4.7606400304681e-05,1.81656001162598e-05,0.000133423200853908,4.6980000300672e-05,3.82104002445466e-05,7.7673600497111e-05,4.38480002806272e-05,5.63760003608064e-05,6.2640000400896e-07,2.56824001643674e-05,8.14320005211648e-06,0.000107740800689541,0.000188546401206697,6.82776004369766e-05,4.6353600296663e-05,3.69576002365286e-05,0.00024116400154345,5.07384003247258e-05
"Otu0003",2.25504001443226e-05,5.44968003487795e-05,2.81880001804032e-05,5.57496003567974e-05,1.81656001162598e-05,2.12976001363046e-05,1.25280000801792e-06,0.000182282401166607,0.000107740800689541,5.88816003768422e-05,0.000277495201775969,4.6980000300672e-05,9.77184006253978e-05,3.50784002245018e-05,7.20360004610304e-05,7.07832004530125e-05,7.14096004570214e-05,8.01792005131469e-05,9.77184006253978e-05,3.44520002204928e-05,3.1320000200448e-06,2.69352001723853e-05,5.63760003608064e-06,2.19240001403136e-05,1.75392001122509e-05,2.06712001322957e-05,2.50560001603584e-06,5.63760003608064e-06,5.95080003808512e-05,5.26176003367526e-05,8.76960005612544e-06,3.75840002405376e-05,4.44744002846362e-05,1.06488000681523e-05,5.76288003688243e-05,4.38480002806272e-06,5.63760003608064e-05,1.87920001202688e-06,0.000139060800889989,6.2013600396887e-05,0,6.2640000400896e-07,4.38480002806272e-05,4.88592003126989e-05,6.2013600396887e-05,5.19912003327437e-05,8.83224005652634e-05,4.6353600296663e-05,1.31544000841882e-05,3.75840002405376e-06,3.31992002124749e-05,5.01120003207168e-05,1.87920001202688e-05,2.63088001683763e-05,4.82328003086899e-05,2.12976001363046e-05,7.830000050112e-05,7.70472004931021e-05,1.25280000801792e-05,2.12976001363046e-05,3.25728002084659e-05,9.3960000601344e-06,2.12976001363046e-05,3.00672001924301e-05,1.06488000681523e-05,0.000103982400665487,1.25280000801792e-06,9.3960000601344e-06,2.06712001322957e-05,3.1320000200448e-06,6.2640000400896e-06,3.50784002245018e-05,5.01120003207168e-05,4.57272002926541e-05,4.88592003126989e-05,0,3.1320000200448e-05,0.000125906400805801,2.56824001643674e-05,5.44968003487795e-05,1.44072000922061e-05,3.69576002365286e-05,2.50560001603584e-05,3.57048002285107e-05,6.76512004329677e-05,0.000119016000761702,3.82104002445466e-05,4.25952002726093e-05,3.44520002204928e-05,5.13648003287347e-05,6.2640000400896e-07,3.75840002405376e-05,2.50560001603584e-06,2.25504001443226e-05,3.57048002285107e-05,3.25728002084659e-05,2.19240001403136e-05,2.88144001844122e-05,2.38032001523405e-05,6.2640000400896e-07,3.00672001924301e-05,5.01120003207168e-06,3.44520002204928e-05,1.37808000881971e-05,0.000105861600677514,6.3266400404905e-05,0.000101476800649452,3.25728002084659e-05,6.2640000400896e-05
"Otu0004",2.50560001603584e-05,4.7606400304681e-05,3.88368002485555e-05,5.51232003527885e-05,2.63088001683763e-05,2.25504001443226e-05,1.87920001202688e-06,0.00016850160107841,0.000110872800709586,4.7606400304681e-05,0.000316332002024525,3.82104002445466e-05,0.000107114400685532,3.1320000200448e-05,7.51680004810752e-05,7.45416004770662e-05,7.01568004490035e-05,8.33112005331917e-05,0.000104608800669496,4.38480002806272e-05,1.25280000801792e-06,2.63088001683763e-05,8.14320005211648e-06,2.38032001523405e-05,1.87920001202688e-05,2.12976001363046e-05,6.2640000400896e-07,3.1320000200448e-06,6.38928004089139e-05,5.70024003648154e-05,1.19016000761702e-05,3.1320000200448e-05,3.31992002124749e-05,1.25280000801792e-05,6.13872003928781e-05,2.50560001603584e-06,6.57720004209408e-05,3.75840002405376e-06,0.000167875201074401,4.82328003086899e-05,0,2.50560001603584e-06,3.69576002365286e-05,5.44968003487795e-05,6.89040004409856e-05,5.88816003768422e-05,9.77184006253978e-05,5.01120003207168e-05,8.14320005211648e-06,1.25280000801792e-06,3.31992002124749e-05,5.26176003367526e-05,3.1320000200448e-05,2.25504001443226e-05,4.6980000300672e-05,2.12976001363046e-05,6.63984004249498e-05,5.70024003648154e-05,1.06488000681523e-05,1.94184001242778e-05,3.1946400204457e-05,8.76960005612544e-06,1.87920001202688e-05,2.38032001523405e-05,2.88144001844122e-05,0.000122774400785756,6.2640000400896e-07,7.51680004810752e-06,9.3960000601344e-06,3.1320000200448e-06,2.50560001603584e-06,5.38704003447706e-05,5.38704003447706e-05,3.94632002525645e-05,5.32440003407616e-05,0,3.38256002164838e-05,0.000102729600657469,2.44296001563494e-05,4.82328003086899e-05,3.1320000200448e-05,3.75840002405376e-05,2.19240001403136e-05,4.57272002926541e-05,6.07608003888691e-05,0.000127159200813819,4.38480002806272e-05,4.38480002806272e-05,3.1946400204457e-05,3.57048002285107e-05,0,2.63088001683763e-05,4.38480002806272e-06,1.94184001242778e-05,3.0693600196439e-05,2.06712001322957e-05,1.44072000922061e-05,2.88144001844122e-05,2.56824001643674e-05,0,2.94408001884211e-05,6.89040004409856e-06,4.07160002605824e-05,1.31544000841882e-05,8.14320005211648e-05,6.63984004249498e-05,9.02016005772902e-05,3.50784002245018e-05,6.45192004129229e-05
"Otu0005",1.12752000721613e-05,1.69128001082419e-05,1.37808000881971e-05,3.00672001924301e-05,5.01120003207168e-06,8.14320005211648e-06,2.50560001603584e-06,0.00010210320065346,6.89040004409856e-05,4.00896002565734e-05,0.00012026880076972,6.2640000400896e-06,7.01568004490035e-05,3.38256002164838e-05,3.57048002285107e-05,3.00672001924301e-05,4.94856003167078e-05,4.44744002846362e-05,5.38704003447706e-05,2.56824001643674e-05,1.25280000801792e-06,2.63088001683763e-05,1.25280000801792e-06,6.89040004409856e-06,3.31992002124749e-05,1.5660000100224e-05,1.87920001202688e-06,3.75840002405376e-06,2.38032001523405e-05,2.75616001763942e-05,7.51680004810752e-06,2.31768001483315e-05,1.81656001162598e-05,8.14320005211648e-06,2.81880001804032e-05,1.31544000841882e-05,2.38032001523405e-05,1.31544000841882e-05,5.51232003527885e-05,1.81656001162598e-05,3.75840002405376e-06,1.25280000801792e-06,1.31544000841882e-05,5.32440003407616e-05,4.00896002565734e-05,2.25504001443226e-05,9.3960000601344e-06,2.19240001403136e-05,1.06488000681523e-05,8.76960005612544e-06,2.75616001763942e-05,3.88368002485555e-05,2.50560001603584e-05,1.25280000801792e-05,5.13648003287347e-05,1.37808000881971e-05,8.39376005372006e-05,4.07160002605824e-05,1.12752000721613e-05,3.31992002124749e-05,3.0693600196439e-05,1.00224000641434e-05,1.19016000761702e-05,2.31768001483315e-05,5.63760003608064e-06,5.19912003327437e-05,6.89040004409856e-06,3.1320000200448e-06,1.69128001082419e-05,4.13424002645914e-05,9.3960000601344e-06,3.0693600196439e-05,4.57272002926541e-05,2.38032001523405e-05,1.5660000100224e-05,8.76960005612544e-06,3.57048002285107e-05,5.51232003527885e-05,1.12752000721613e-05,2.38032001523405e-05,1.44072000922061e-05,2.06712001322957e-05,2.44296001563494e-05,1.5033600096215e-05,1.31544000841882e-05,0.000129664800829855,2.63088001683763e-05,3.50784002245018e-05,2.44296001563494e-05,3.1946400204457e-05,0,2.63088001683763e-05,5.63760003608064e-06,8.14320005211648e-06,1.37808000881971e-05,4.19688002686003e-05,1.06488000681523e-05,1.06488000681523e-05,2.44296001563494e-05,0,6.89040004409856e-06,5.63760003608064e-06,0.000142192800910034,1.69128001082419e-05,2.06712001322957e-05,2.50560001603584e-05,2.81880001804032e-05,4.25952002726093e-05,2.50560001603584e-05
"Otu0006",1.94184001242778e-05,7.07832004530125e-05,2.31768001483315e-05,6.2013600396887e-05,2.38032001523405e-05,1.5033600096215e-05,6.2640000400896e-07,0.000119016000761702,6.57720004209408e-05,2.81880001804032e-05,0.000197942401266831,2.31768001483315e-05,6.70248004289587e-05,2.75616001763942e-05,4.88592003126989e-05,5.44968003487795e-05,0.000100224000641434,5.70024003648154e-05,4.38480002806272e-05,1.87920001202688e-05,1.25280000801792e-06,4.00896002565734e-05,0,2.31768001483315e-05,2.63088001683763e-05,5.01120003207168e-06,3.1320000200448e-06,1.12752000721613e-05,3.75840002405376e-05,2.44296001563494e-05,2.50560001603584e-06,2.25504001443226e-05,4.44744002846362e-05,2.50560001603584e-06,4.19688002686003e-05,1.87920001202688e-06,8.14320005211648e-06,6.2640000400896e-07,7.7673600497111e-05,3.31992002124749e-05,0,1.87920001202688e-06,2.06712001322957e-05,3.50784002245018e-05,5.07384003247258e-05,2.94408001884211e-05,1.75392001122509e-05,2.69352001723853e-05,1.06488000681523e-05,0,1.00224000641434e-05,3.75840002405376e-05,4.00896002565734e-05,2.50560001603584e-05,8.14320005211648e-05,2.12976001363046e-05,5.57496003567974e-05,4.00896002565734e-05,7.51680004810752e-06,1.25280000801792e-05,4.51008002886451e-05,9.3960000601344e-06,1.69128001082419e-05,3.38256002164838e-05,1.87920001202688e-06,3.88368002485555e-05,6.2640000400896e-07,8.76960005612544e-06,1.06488000681523e-05,5.01120003207168e-06,3.1320000200448e-06,3.25728002084659e-05,2.00448001282867e-05,2.44296001563494e-05,1.94184001242778e-05,6.89040004409856e-06,4.13424002645914e-05,0.000166622401066383,1.12752000721613e-05,2.12976001363046e-05,2.12976001363046e-05,1.12752000721613e-05,2.50560001603584e-05,2.75616001763942e-05,1.12752000721613e-05,6.70248004289587e-05,2.88144001844122e-05,4.51008002886451e-05,1.12752000721613e-05,4.57272002926541e-05,0,2.38032001523405e-05,6.89040004409856e-06,1.44072000922061e-05,9.3960000601344e-06,5.13648003287347e-05,1.94184001242778e-05,2.19240001403136e-05,1.75392001122509e-05,0,1.00224000641434e-05,2.00448001282867e-05,7.70472004931021e-05,1.06488000681523e-05,6.07608003888691e-05,3.25728002084659e-05,4.6353600296663e-05,6.89040004409856e-06,3.25728002084659e-05
"Otu0007",2.38032001523405e-05,2.94408001884211e-05,2.81880001804032e-05,4.19688002686003e-05,6.2640000400896e-07,1.19016000761702e-05,1.25280000801792e-06,0.000121521600777738,9.3333600597335e-05,3.38256002164838e-05,0.00018040320115458,3.38256002164838e-05,4.44744002846362e-05,3.57048002285107e-05,5.63760003608064e-05,5.44968003487795e-05,9.4586400605353e-05,3.50784002245018e-05,3.94632002525645e-05,4.6353600296663e-05,3.75840002405376e-06,2.81880001804032e-05,1.25280000801792e-06,1.12752000721613e-05,3.88368002485555e-05,1.00224000641434e-05,8.14320005211648e-06,6.2640000400896e-07,6.95304004449946e-05,3.69576002365286e-05,1.75392001122509e-05,1.75392001122509e-05,6.07608003888691e-05,9.3960000601344e-06,3.38256002164838e-05,6.2640000400896e-07,4.38480002806272e-06,3.75840002405376e-06,6.57720004209408e-05,3.25728002084659e-05,0,3.1320000200448e-06,2.44296001563494e-05,1.6286400104233e-05,5.01120003207168e-05,5.51232003527885e-05,3.00672001924301e-05,2.63088001683763e-05,1.5033600096215e-05,1.25280000801792e-06,3.1320000200448e-05,2.44296001563494e-05,2.12976001363046e-05,2.12976001363046e-05,4.32216002766182e-05,1.87920001202688e-05,3.1320000200448e-05,4.6353600296663e-05,8.76960005612544e-06,2.69352001723853e-05,5.13648003287347e-05,2.00448001282867e-05,1.6286400104233e-05,3.00672001924301e-05,4.38480002806272e-06,3.75840002405376e-05,8.14320005211648e-06,8.14320005211648e-06,1.94184001242778e-05,5.63760003608064e-06,1.87920001202688e-05,4.44744002846362e-05,5.19912003327437e-05,2.06712001322957e-05,3.0693600196439e-05,0,4.7606400304681e-05,7.45416004770662e-05,1.81656001162598e-05,2.50560001603584e-05,1.75392001122509e-05,1.00224000641434e-05,1.44072000922061e-05,1.87920001202688e-05,3.1320000200448e-05,0.000134676000861926,2.69352001723853e-05,4.57272002926541e-05,2.00448001282867e-05,2.50560001603584e-05,0,2.56824001643674e-05,8.14320005211648e-06,9.3960000601344e-06,6.2640000400896e-06,5.51232003527885e-05,2.00448001282867e-05,1.6286400104233e-05,1.44072000922061e-05,0,8.76960005612544e-06,1.00224000641434e-05,1.69128001082419e-05,1.19016000761702e-05,1.37808000881971e-05,4.07160002605824e-05,4.94856003167078e-05,1.31544000841882e-05,2.25504001443226e-05
"Otu0008",4.38480002806272e-06,1.81656001162598e-05,1.06488000681523e-05,2.06712001322957e-05,2.56824001643674e-05,6.2640000400896e-06,1.19016000761702e-05,3.82104002445466e-05,4.51008002886451e-05,5.63760003608064e-06,6.01344003848602e-05,2.50560001603584e-06,1.37808000881971e-05,3.75840002405376e-06,2.44296001563494e-05,2.50560001603584e-05,4.6353600296663e-05,2.56824001643674e-05,1.00224000641434e-05,6.2640000400896e-06,1.87920001202688e-06,1.06488000681523e-05,1.25280000801792e-06,1.31544000841882e-05,1.25280000801792e-05,1.87920001202688e-06,1.25280000801792e-06,2.50560001603584e-06,4.38480002806272e-06,5.63760003608064e-06,6.89040004409856e-06,9.3960000601344e-06,9.3960000601344e-06,3.1320000200448e-06,2.94408001884211e-05,1.87920001202688e-06,6.2640000400896e-06,1.25280000801792e-06,2.50560001603584e-05,2.88144001844122e-05,3.75840002405376e-06,0,0.000133423200853908,4.51008002886451e-05,1.5033600096215e-05,2.50560001603584e-06,1.81656001162598e-05,1.37808000881971e-05,1.94184001242778e-05,3.88368002485555e-05,5.63760003608064e-06,8.76960005612544e-06,1.5033600096215e-05,1.19016000761702e-05,2.44296001563494e-05,6.89040004409856e-06,5.63760003608064e-06,2.31768001483315e-05,1.87920001202688e-06,6.89040004409856e-06,1.94184001242778e-05,5.63760003608064e-06,6.89040004409856e-06,1.31544000841882e-05,8.76960005612544e-06,2.12976001363046e-05,6.2640000400896e-07,3.1320000200448e-06,1.12752000721613e-05,1.19016000761702e-05,1.25280000801792e-06,1.6286400104233e-05,8.76960005612544e-06,9.3960000601344e-06,1.19016000761702e-05,8.76960005612544e-06,1.31544000841882e-05,4.19688002686003e-05,3.1320000200448e-06,1.00224000641434e-05,1.00224000641434e-05,1.87920001202688e-06,2.00448001282867e-05,1.19016000761702e-05,1.69128001082419e-05,6.3266400404905e-05,1.44072000922061e-05,1.87920001202688e-05,5.01120003207168e-06,1.5033600096215e-05,0,9.3960000601344e-06,6.2640000400896e-06,5.01120003207168e-06,3.1320000200448e-06,4.88592003126989e-05,1.12752000721613e-05,2.44296001563494e-05,1.5033600096215e-05,0,3.1320000200448e-06,1.87920001202688e-06,1.19016000761702e-05,1.37808000881971e-05,8.76960005612544e-06,1.75392001122509e-05,1.31544000841882e-05,2.50560001603584e-06,2.25504001443226e-05
"Otu0009",2.31768001483315e-05,5.88816003768422e-05,1.25280000801792e-05,2.63088001683763e-05,3.82104002445466e-05,5.01120003207168e-06,6.2640000400896e-07,6.82776004369766e-05,5.70024003648154e-05,5.26176003367526e-05,0.000133423200853908,2.50560001603584e-05,4.6353600296663e-05,3.50784002245018e-05,2.94408001884211e-05,5.01120003207168e-05,4.07160002605824e-05,6.2640000400896e-05,9.3333600597335e-05,2.44296001563494e-05,0,2.50560001603584e-05,1.25280000801792e-06,1.31544000841882e-05,1.00224000641434e-05,1.37808000881971e-05,1.87920001202688e-06,6.89040004409856e-06,6.45192004129229e-05,1.75392001122509e-05,5.01120003207168e-06,1.69128001082419e-05,3.1946400204457e-05,1.00224000641434e-05,2.88144001844122e-05,1.25280000801792e-06,2.63088001683763e-05,2.50560001603584e-06,0.000103982400665487,2.50560001603584e-05,6.2640000400896e-07,2.50560001603584e-06,1.75392001122509e-05,2.06712001322957e-05,3.88368002485555e-05,1.5033600096215e-05,2.31768001483315e-05,1.75392001122509e-05,1.94184001242778e-05,2.50560001603584e-06,1.12752000721613e-05,3.82104002445466e-05,2.19240001403136e-05,1.37808000881971e-05,3.25728002084659e-05,8.14320005211648e-06,1.31544000841882e-05,2.94408001884211e-05,6.2640000400896e-06,7.51680004810752e-06,6.13872003928781e-05,1.25280000801792e-06,2.50560001603584e-05,2.56824001643674e-05,1.87920001202688e-06,5.57496003567974e-05,3.1320000200448e-06,5.63760003608064e-06,2.38032001523405e-05,6.2640000400896e-07,5.63760003608064e-06,6.07608003888691e-05,3.1320000200448e-05,1.75392001122509e-05,7.45416004770662e-05,0,2.75616001763942e-05,2.88144001844122e-05,2.25504001443226e-05,9.83448006294067e-05,6.89040004409856e-06,1.19016000761702e-05,1.19016000761702e-05,2.00448001282867e-05,2.06712001322957e-05,6.57720004209408e-05,3.38256002164838e-05,3.69576002365286e-05,2.81880001804032e-05,2.19240001403136e-05,0,3.82104002445466e-05,2.50560001603584e-06,1.12752000721613e-05,4.38480002806272e-06,3.31992002124749e-05,7.51680004810752e-06,1.81656001162598e-05,1.19016000761702e-05,0,1.6286400104233e-05,4.38480002806272e-06,4.94856003167078e-05,1.5660000100224e-05,2.25504001443226e-05,3.69576002365286e-05,5.01120003207168e-05,7.51680004810752e-06,2.75616001763942e-05
"Otu0010",8.01792005131469e-05,5.07384003247258e-05,8.45640005412096e-05,0.000143445600918052,5.70024003648154e-05,6.70248004289587e-05,1.12752000721613e-05,0.000234273601499351,0.000165369601058365,5.82552003728333e-05,0.000220492801411154,7.26624004650394e-05,0.000181029601158589,7.95528005091379e-05,0.000119642400765711,0.000159105601018276,0.000177271201134536,0.000148456800950124,9.83448006294067e-05,5.32440003407616e-05,6.89040004409856e-06,3.75840002405376e-05,2.50560001603584e-06,2.31768001483315e-05,1.6286400104233e-05,6.2640000400896e-06,5.63760003608064e-06,6.2640000400896e-06,0.000217987201395118,0.000112125600717604,2.19240001403136e-05,3.1320000200448e-05,6.95304004449946e-05,1.75392001122509e-05,8.95752005732813e-05,5.63760003608064e-06,6.57720004209408e-05,5.01120003207168e-06,0.000217987201395118,8.20584005251738e-05,7.51680004810752e-06,1.12752000721613e-05,4.94856003167078e-05,9.27072005933261e-05,8.01792005131469e-05,0.000134049600857917,3.00672001924301e-05,5.19912003327437e-05,1.5033600096215e-05,2.50560001603584e-06,4.13424002645914e-05,6.57720004209408e-05,6.2013600396887e-05,5.13648003287347e-05,0.000143445600918052,2.56824001643674e-05,5.82552003728333e-05,7.64208004890931e-05,2.12976001363046e-05,1.5660000100224e-05,0.000100224000641434,1.6286400104233e-05,3.1946400204457e-05,3.88368002485555e-05,1.19016000761702e-05,0.000117763200753684,6.2640000400896e-07,1.31544000841882e-05,6.3266400404905e-05,1.44072000922061e-05,7.51680004810752e-06,7.57944004850842e-05,4.44744002846362e-05,0.000110872800709586,8.64432005532365e-05,3.75840002405376e-06,7.39152004730573e-05,0.000113378400725622,5.82552003728333e-05,5.51232003527885e-05,3.57048002285107e-05,4.38480002806272e-05,6.13872003928781e-05,6.70248004289587e-05,9.14544005853082e-05,0.000164743201054356,5.88816003768422e-05,9.58392006133709e-05,6.70248004289587e-05,4.6353600296663e-05,6.2640000400896e-07,6.38928004089139e-05,9.3960000601344e-06,1.94184001242778e-05,6.01344003848602e-05,5.19912003327437e-05,3.82104002445466e-05,2.56824001643674e-05,3.31992002124749e-05,0,1.81656001162598e-05,1.00224000641434e-05,4.38480002806272e-05,4.00896002565734e-05,9.83448006294067e-05,0.000111499200713595,0.000115257600737649,2.12976001363046e-05,0.00010210320065346
